ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
600307.SH,2003,4,2004-02-24,23.8941,24.1158,20.3507,16.7227,19.2082,606716991.68,108.9784,108.0948,107.1406,25.4280,1.3410,2.8050,1.9178,63.8666,63.8666,,,3.9100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600308.SH,2003,4,2004-01-16,12.7275,12.7327,10.6135,8.5257,28.3960,225975884.15,11.9776,12.5595,18.8240,39.2862,1.6471,1.2535,0.8028,20.3521,20.3521,,,6.3600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600309.SH,2003,4,2004-03-18,27.3910,27.3377,25.4117,19.6257,35.8894,231826147.54,58.7589,59.0410,50.5109,27.8671,1.3863,1.8029,1.3431,52.3918,52.3918,,,2.5100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600310.SH,2003,4,2004-03-18,9.8265,8.8803,7.9601,6.2012,34.8792,56232798.80,-6.6449,-6.2408,-0.4112,41.8562,1.7199,0.6459,0.6142,5.5140,5.5140,,,4.2388,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600311.SH,2003,4,2004-03-09,5.5338,4.8014,5.1655,4.4524,19.1534,49099619.15,-2.9959,-2.9959,-3.2127,23.5714,1.3084,0.7575,0.5731,-2.1984,-2.1984,,,5.2500,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600312.SH,2003,4,2004-04-17,2.5267,0.9811,2.2120,1.8040,19.1409,8970489.46,-42.8113,-47.6985,-41.4204,38.0245,1.6135,2.0081,1.5088,34.8438,34.8438,,,2.9600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600313.SH,2003,4,2004-02-10,-19.7948,-15.4604,-12.5819,-10.9476,5.5501,-88904685.06,-158.3543,-68.5559,-42.1339,48.5494,1.9436,1.7450,1.4757,-16.0400,-16.0400,,,2.0035,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600315.SH,2003,4,2004-03-24,7.0732,6.4441,6.3208,5.8199,40.3638,73858929.72,12.2339,2.9314,7.5733,22.0066,1.2822,3.1176,2.5927,8.9811,8.9811,,,4.3965,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600316.SH,2003,4,2004-04-06,6.1266,5.3141,5.2911,4.8806,18.2362,58132841.79,6.5580,5.9334,-0.1319,17.2392,1.2083,3.9733,3.0779,0.5210,0.5210,,,5.3700,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600317.SH,2003,4,2004-01-13,7.1666,7.4463,9.0306,5.1508,37.9846,69322510.23,11.8758,10.0725,11.0015,30.0517,1.4296,1.0079,0.9559,23.6146,23.6146,,,3.8600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600318.SH,2003,4,2004-04-22,1.5778,1.6026,3.2110,0.6591,24.9515,9897026.66,-18.2233,-8.4816,-39.1747,56.1682,2.2814,0.7535,0.6618,6.3448,6.3448,,,3.1100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600319.SH,2003,4,2004-03-23,5.1115,4.5787,5.3136,3.7285,18.1993,47204360.63,22.4119,22.6338,11.6710,27.0693,1.3712,1.5785,1.3227,11.1787,11.1787,,,3.3500,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600320.SH,2003,4,2004-02-17,13.9552,13.8239,6.2396,4.4517,11.0278,275079295.00,103.6466,99.5159,102.6888,70.7041,3.4134,1.0792,0.5760,50.5470,50.5470,,,4.6600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600321.SH,2003,4,2004-04-20,3.0646,1.6147,3.1706,2.6059,28.3849,17299819.30,-31.6104,-31.2730,-32.1825,10.5510,1.1180,4.9714,4.6827,-23.1687,-23.1687,,,6.2100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600322.SH,2003,4,2004-04-02,1.2594,1.5152,2.3946,0.6657,31.2865,25122386.16,6.8092,-26.1303,-39.1141,46.7609,1.8783,2.6481,0.8909,39.7600,39.7600,,,3.9177,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600323.SH,2003,4,2004-03-26,8.6442,8.8010,12.2254,6.9368,51.6389,65215381.54,17.3533,18.8720,-11.1610,17.4231,1.2110,0.5129,0.4551,9.1780,9.1780,,,3.7100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600325.SH,2003,4,2004-02-05,13.4230,,8.1166,6.5976,30.3132,,-0.5950,-0.3167,-0.2431,52.4866,2.1047,2.6930,0.4351,35.5059,35.5059,,,3.1900,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600326.SH,2003,4,2004-04-22,7.7155,6.6628,6.2050,4.9544,17.4651,26167050.41,-11.8509,15.1239,0.6941,31.0006,1.4493,1.7253,1.6317,-31.8493,-31.8493,,,2.2660,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600327.SH,2003,4,2004-03-16,8.6410,8.5040,7.9130,5.5959,10.1058,44532718.27,47.8603,43.6312,23.1593,50.0798,2.0032,1.6753,1.3424,71.8916,71.8916,,,5.0300,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600328.SH,2003,4,2004-03-27,4.5663,4.7703,4.5548,2.1641,44.5349,31816051.71,-22.2841,-29.9955,-30.4877,47.0561,1.8888,0.9269,0.7657,24.5171,24.5171,,,3.0400,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600329.SH,2003,4,2004-03-26,5.5750,3.1322,4.1023,3.0902,42.4379,48575000.00,-8.4645,20.0465,1.5838,51.5732,2.0650,0.9245,0.5946,12.2325,12.2325,,,4.3100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600330.SH,2003,4,2004-02-19,11.3523,10.4050,8.4219,7.5549,33.6102,64596500.16,23.9626,23.0288,16.2964,39.6222,1.6562,1.4821,1.2137,13.3638,13.3638,,,2.8600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600331.SH,2003,4,2004-02-18,6.4943,5.5028,5.8015,3.2316,19.2522,39340244.31,67.1768,50.7170,17.1237,58.6641,2.4192,0.7083,0.5381,91.8864,91.8864,,,5.7500,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
