code,name,track_index,track_index_code,fund_type,invest_strategy,list_date,management_fee,custody_fee,fund_company,scale,created_at,updated_at
159172,养殖ETF汇添富,,,,,,,,,3.86,2026-05-04 19:51:39.326881+08:00,
159173,农牧ETF南方,,,,,,,,,0.63,2026-05-04 19:51:39.326881+08:00,
159175,电池ETF易方达,,,,,,,,,2.58,2026-05-04 19:51:39.326881+08:00,
159176,家电ETF华宝,消费指数,,,,,,,,0.40,2026-05-04 19:51:39.326881+08:00,
159177,工程机械ETF鹏华,,,,,,,,,0.56,2026-05-04 19:51:39.326881+08:00,
159178,消费电子ETF汇添富,消费指数,,,,,,,,1.84,2026-05-04 19:51:39.326881+08:00,
159179,港股通互联网ETF工银,港股指数,,,,,,,,1.09,2026-05-04 19:51:39.326881+08:00,
159180,软件ETF银华,,,,,,,,,0.46,2026-05-04 19:51:39.326881+08:00,
159181,石油ETF易方达,能源指数,,,,,,,,1.82,2026-05-04 19:51:39.326881+08:00,
159183,新能源车ETF招商,新能源指数,,,,,,,,0.89,2026-05-04 19:51:39.326881+08:00,
159185,港股通信息技术ETF鹏华,通信指数,,,,,,,,1.02,2026-05-04 19:51:39.326881+08:00,
159186,港股通汽车ETF鹏华,汽车指数,,,,,,,,1.47,2026-05-04 19:51:39.326881+08:00,
159187,创业板新能源ETF景顺,创业板指,,,,,,,,0.85,2026-05-04 19:51:39.326881+08:00,
159188,红利100ETF景顺,红利指数,,,,,,,,0.86,2026-05-04 19:51:39.326881+08:00,
159189,石油ETF华夏,能源指数,,,,,,,,1.55,2026-05-04 19:51:39.326881+08:00,
159190,创业板新能源ETF天弘,创业板指,,,,,,,,0.87,2026-05-04 19:51:39.326881+08:00,
159191,港股通科技ETF易方达,科技指数,,,,,,,,0.87,2026-05-04 19:51:39.326881+08:00,
159192,家电ETF汇添富,消费指数,,,,,,,,2.45,2026-05-04 19:51:39.326881+08:00,
159195,石油ETF华安,能源指数,,,,,,,,1.20,2026-05-04 19:51:39.326881+08:00,
159196,港股通信息技术ETF易方达,通信指数,,,,,,,,1.36,2026-05-04 19:51:39.326881+08:00,
159197,石油ETF招商,能源指数,,,,,,,,0.59,2026-05-04 19:51:39.326881+08:00,
159198,港股通信息技术ETF富国,通信指数,,,,,,,,0.75,2026-05-04 19:51:39.326881+08:00,
159199,石油ETF平安,能源指数,,,,,,,,1.27,2026-05-04 19:51:39.326881+08:00,
159201,自由现金流ETF华夏,黄金,,,,,,,,209.18,2026-05-04 19:51:39.326881+08:00,
159202,恒生互联网ETF万家,恒生指数,,,,,,,,11.58,2026-05-04 19:51:39.326881+08:00,
159203,大盘成长ETF博时,,,,,,,,,0.07,2026-05-04 19:51:39.326881+08:00,
159205,创业板ETF东财,创业板指,,,,,,,,5.57,2026-05-04 19:51:39.326881+08:00,
159206,卫星ETF永赢,,,,,,,,,232.24,2026-05-04 19:51:39.326881+08:00,
159207,高股息ETF广发,,,,,,,,,11.38,2026-05-04 19:51:39.326881+08:00,
159208,航空航天ETF万家,,,,,,,,,3.71,2026-05-04 19:51:39.326881+08:00,
159209,红利质量ETF招商,红利指数,,,,,,,,24.80,2026-05-04 19:51:39.326881+08:00,
159210,港股通汽车ETF汇添富,汽车指数,,,,,,,,0.87,2026-05-04 19:51:39.326881+08:00,
159211,深证100ETF富国,深证100,,,,,,,,0.30,2026-05-04 19:51:39.326881+08:00,
159212,深100ETF南方,深证100,,,,,,,,1.22,2026-05-04 19:51:39.326881+08:00,
159213,机器人ETF汇添富,机器人指数,,,,,,,,6.45,2026-05-04 19:51:39.326881+08:00,
159215,A500ETF平安,中证500,,,,,,,,12.72,2026-05-04 19:51:39.326881+08:00,
159216,深证100ETF大成,深证100,,,,,,,,0.15,2026-05-04 19:51:39.326881+08:00,
159217,港股通创新药ETF工银,港股指数,,,,,,,,57.24,2026-05-04 19:51:39.326881+08:00,
159218,卫星ETF招商,,,,,,,,,40.90,2026-05-04 19:51:39.326881+08:00,
159219,深证100ETF融通,深证100,,,,,,,,0.56,2026-05-04 19:51:39.326881+08:00,
159220,港股通红利低波ETF华宝,红利指数,,,,,,,,3.05,2026-05-04 19:51:39.326881+08:00,
