ts_code,name,fullname,enname,list_date,delist_date,market,curr_type,list_status,created_at,updated_at
02315.HK,百奥赛图-B,百奥赛图(北京)医药科技股份有限公司,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd.",2022-09-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02317.HK,味丹国际,味丹国际(控股)有限公司,Vedan International (Holdings) Limited,2003-06-27,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02318.HK,中国平安,中国平安保险(集团)股份有限公司,"Ping An Insurance (Group) Company of China, Ltd.",2004-06-24,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02319.HK,蒙牛乳业,中国蒙牛乳业有限公司,China Mengniu Dairy Company Limited,2004-06-10,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02320.HK,合丰集团,合丰集团控股有限公司,Hop Fung Group Holdings Ltd.,2003-09-24,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02321.HK,双财庄,双财庄有限公司,Swang Chai Chuan Limited,2022-08-19,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02322.HK,新质数字,新质数字科技有限公司,Modern Innovative Digital Technology Company Limited,2003-04-09,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02323.HK,融科控股,融科控股集团有限公司,Renco Holdings Group Limited,2002-06-21,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02324.HK,首都创投,首都创投有限公司,Capital VC Limited,2003-10-27,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02325.HK,云康集团,云康集团有限公司,Yunkang Group Limited,2022-05-18,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02326.HK,新源万恒控股,新源万恒控股有限公司,New Provenance Everlasting Holdings Limited,2003-03-03,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02327.HK,美瑞健康国际,美瑞健康国际产业集团有限公司,Meilleure Health International Industry Group Limited,2003-10-14,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02328.HK,中国财险,中国人民财产保险股份有限公司,PICC Property and Casualty Company Limited,2003-11-06,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
